Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6505","Food Household Consumption","2022","2022","TJ","44223.8182","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723116","Energy Use (Natural Gas, including LNG)","6505","Food Household Consumption","2023","2023","TJ","41437.7177","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6505","Food Household Consumption","2013","2013","TJ","112.217","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6505","Food Household Consumption","2014","2014","TJ","88.5984","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6505","Food Household Consumption","2015","2015","TJ","90.5388","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6505","Food Household Consumption","2016","2016","TJ","96.7295","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6505","Food Household Consumption","2017","2017","TJ","89.631314","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6505","Food Household Consumption","2018","2018","TJ","85.400793","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6505","Food Household Consumption","2019","2019","TJ","84.852659","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6505","Food Household Consumption","2020","2020","TJ","76.08604","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6505","Food Household Consumption","2021","2021","TJ","87.903446","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6505","Food Household Consumption","2022","2022","TJ","74.848339","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723117","Energy Use (Coal)","6505","Food Household Consumption","2023","2023","TJ","12.13374","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6505","Food Household Consumption","2013","2013","TJ","130848.789367","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","250","France","723118","Energy Use (Electricity)","6505","Food Household Consumption","2014","2014","TJ","128190.944431","E","Estimated value"
